BLTH;NAMA GARDU;prabayar;;;paska;;;total;;;kapasitas;tanggal pengukuran;beban;% pembebanan;Kategori HI
;;daya;transaksi;kwh;daya;plg;kwh;daya tersambung total (kVa);Jumlah Pelanggan tersambung total;kWh Jual;;;;;
;;;;;;;;;;;;;;;
Jan-23;BB010;173700;76;13910,1;160800;60;41700;334,5;136;55610,1;200;5/1/2023;75,543;38%;Baik
Jan-23;BB011;288100;79;13338,5;172350;107;51429;460,45;186;64767,5;200;5/1/2023;80,141;40%;Baik
Jan-23;BB020;63400;18;4694,6;46800;35;19011;110,2;53;23705,6;160;14/1/2023;33,35;21%;Baik
Jan-23;BB028;345400;71;16165,7;413300;66;57358;758,7;137;73523,7;160;5/1/2023;150,999;94%;Kurang
Jan-23;BB050;0;0;0;41500;1;2280;41,5;1;2280;200;27/1/2023;34,331;17%;Baik
Jan-23;BB061;349600;151;17744,1;227000;114;53443;576,6;265;71187,1;160;5/1/2023;117,904;74%;Cukup
Jan-23;BB062;365600;206;18351,6;196050;205;67268;561,65;411;85619,6;200;5/1/2023;109,804;55%;Baik
Jan-23;BB072;327400;212;14270,3;154250;215;60616;481,65;427;74886,3;100;30/1/2023;59,032;59%;Baik
Jan-23;BB074;214850;179;13263,6;177400;193;57239;392,25;372;70502,6;200;28/1/2023;94,21;47%;Baik
Jan-23;BB075;359750;277;17714,3;293500;235;68394;653,25;512;86108,3;250;30/1/2023;121,21;48%;Baik
Jan-23;BB081;0;0;0;2200;1;88;2,2;1;88;50;30/1/2023;21,591;43%;Baik
Jan-23;BB088;0;0;0;66000;1;4137;66;1;4137;200;3/1/2023;9,386;5%;Baik
Jan-23;BB090;121500;87;5711,8;45200;82;17827;166,7;169;23538,8;200;5/1/2023;35,832;18%;Baik
Jan-23;BB091;268350;250;17345,8;143050;299;68806;411,4;549;86151,8;200;4/1/2023;156,128;78%;Cukup
Jan-23;BB092;422150;411;23158,8;292700;253;73433;714,85;664;96591,8;250;4/1/2023;127,73;51%;Baik
Jan-23;BB093;184050;197;9403,6;28600;97;22012;212,65;294;31415,6;100;5/1/2023;58,154;58%;Baik
Jan-23;BB094;302400;321;17564,4;43250;260;57368;345,65;581;74932,4;200;5/1/2023;135,91;68%;Cukup
Jan-23;BB095;200050;201;10178,2;39950;158;31745;240;359;41923,2;160;5/1/2023;95,816;60%;Baik
